Source,Target
36870,13495
36870,78665
36870,11057
36870,15002
36870,21906
36870,78814
36870,30430
36870,11576
36870,9459
112699,191431
112699,84166
112699,11578
112699,191631
112699,34765
112699,23431
112699,80593
112699,60512
112699,23445
112699,40571
112699,320810
112699,9691
112699,40516
112699,42781
112699,23446
112699,23435
112699,213633
112699,23439
112699,106346
112699,40519
112699,25655
112699,213637
112699,338553
112699,11576
112699,69592
112699,24651
112699,170101
112699,213645
112699,23454
112699,339160
112699,191446
112699,277736
112699,434489
112699,434490
112699,339231
112699,213736
112699,213804
112699,40523
112699,389005
112699,21337
112699,23437
112699,62166
112699,213725
112699,434492
112699,434493
112699,434494
112699,434495
112699,28930
112699,434497
112699,434498
112699,434499
112699,434500
112699,191592
112699,213850
112699,124796
112699,273476
112699,191730
112699,213750
112699,434501
112699,191678
112699,8968
112699,4959
112699,213657
112699,339149
112699,213706
112699,339025
112699,40576
112699,98231
112699,11634
112699,389012
112699,11582
112699,434506
112699,434508
112699,213866
112699,434510
112699,40563
112699,434511
112699,339078
112699,434512
112699,213661
112699,389040
112699,389082
112699,213738
112699,50904
112699,213867
112699,213869
112699,40556
112699,339090
112699,388930
112699,434517
112699,388959
112699,213807
112699,119320
112699,388973
112699,434519
112699,434521
112699,434523
112699,434528
112699,434529
112699,434532
112699,434534
112699,434536
112699,434540
112699,434542
112699,434543
112699,434544
112699,434547
112699,434549
112699,434551
112699,434554
112699,200335
112699,434557
112699,434560
112699,434562
112699,150725
112699,434563
112699,71002
112699,105927
112699,62848
112699,434570
112699,434571
112699,434572
112699,193668
112699,434578
112699,111778
112699,18990
112699,34105
112699,434581
112699,434582
112699,434584
112699,434588
112699,24847
112699,293253
112699,85981
112699,434589
112699,278592
112699,434591
112699,18144
112699,434592
112699,27598
112699,54868
112699,434593
112699,134227
112699,434596
112699,434597
112699,182843
112699,216376
112699,434600
112699,357876
112699,195570
112699,213664
112699,434601
112699,434602
112699,434604
112699,339212
112699,191616
112699,434605
112699,389083
112699,434606
112699,213895
112699,434609
112699,434612
112699,213641
112699,213883
112699,434613
112699,388934
112699,124716
112699,339132
112699,37009
112699,434614
112699,389006
112699,339057
112699,434615
112699,213746
112699,434617
112699,434618
112699,434619
112699,389086
112699,213851
112699,309814
112699,213810
112699,213659
112699,18173
112699,103524
112699,172939
112699,339071
112699,389039
112699,213907
112699,434622
112699,434623
112699,434624
112699,213848
112699,68519
112699,21298
112699,434625
112699,213668
112699,23450
112699,311360
112699,434629
112699,434633
112699,20584
112699,92579
112699,251638
112699,434636
112699,434638
112699,434639
112699,434640
112699,434642
112699,434643
112699,434644
112699,265598
112699,5149
112699,142989
112699,434650
112699,434651
112699,281635
112699,434654
112699,434655
112699,182656
112699,434656
112699,374218
112699,58870
112699,252271
112699,182683
112699,182675
112699,28920
112699,75716
112699,434661
112699,182700
112699,283983
112699,434663
112699,138847
112699,250258
112699,213789
112699,434666
112699,339151
112699,126923
112699,192482
112699,5209
112699,434670
112699,434671
112699,434672
112699,434674
112699,388943
112699,339034
112699,434675
112699,251227
112699,434676
112699,100971
112699,17378
112699,434678
112699,339097
112699,434679
112699,213845
112699,434681
112699,434682
112699,40540
112699,339163
112699,411778
112699,389097
112699,339168
112699,389070
112699,434686
57422,9299
57422,18144
57422,8621
57422,11634
57422,62169
190,24826
190,22345
190,29317
190,27554
190,21120
190,8502
190,48011
190,25570
22724,14145
22724,11901
22724,25570
22724,21080
22724,52654
22724,6081
22724,9299
22724,14073
22724,63833
22724,25467
22724,17320
22724,29271
22724,25684
22724,14194
22724,22242
22724,13329
84166,191431
84166,191446
84166,112699
84166,119408
84166,10429
84166,191592
84166,191616
84166,191631
84166,191678
84166,191730
26840,21080
26840,9448
26840,14145
26840,29271
26840,122526
26840,25646
26840,14110
26840,8621
26840,9739
26840,23251
26840,36863
26840,14771
26840,48503
26840,11634
26840,41765
26840,34019
26840,5992
26840,63833
26840,25467
26840,8730
26840,10512
26840,15905
84238,29317
84238,279270
84238,15915
84238,14073
84238,60341
151830,25796
151830,25570
151830,72190
151830,14512
151830,62169
20760,7686
20760,10442
20760,34105
20760,42587
20760,8621
20760,15915
20760,25573
20760,61322
20760,18144
20760,61329
20760,13372
20760,20988
20760,11634
20760,14110
49486,20644
49486,5784
49486,30430
49486,11096
49486,11057
129448,25490
129448,53151
129448,25630
129448,44754
129448,15905
129448,14110
129448,8621
129448,25616
129448,11576
129448,6081
129448,33984
129448,25634
129448,346277
129448,28192
129448,11265
129448,151746
129448,11634
129448,29878
14774,25490
14774,7568
14774,13372
14774,9459
14774,20719
14774,9577
70081,25570
70081,179713
70081,25651
70081,8968
8649,69216
6679,7568
6679,7622
6679,7686
6679,7724
6679,7760
6679,7835
6679,7888
6679,7933
47657,33984
47657,8955
47657,22242
47657,20719
47657,25570
47657,13875
47657,72841
47657,52565
47657,29271
21120,35367
21120,49141
21120,23431
21120,14704
21120,5829
21120,28930
21120,8955
21120,9944
21120,10429
21120,190
21120,11634
279270,346225
279270,346226
279270,346228
279270,346231
279270,45028
279270,346233
279270,19921
279270,346234
279270,346235
279270,28192
279270,113811
279270,346238
279270,12148
279270,135042
279270,122456
279270,56691
279270,346241
279270,20109
279270,346242
279270,60341
279270,346244
279270,28175
279270,18232
279270,346246
279270,130552
279270,183
279270,339451
279270,7337
279270,346249
279270,79441
279270,346251
279270,346252
279270,346253
279270,346254
279270,346256
279270,346257
279270,346258
279270,339356
279270,346261
279270,346262
279270,346263
279270,346264
279270,96986
279270,254543
279270,33922
279270,7622
279270,346265
279270,346266
279270,69531
279270,69024
279270,122302
279270,64436
279270,346271
279270,257870
279270,14512
279270,21185
279270,127408
279270,62169
279270,13894
279270,82550
279270,289401
279270,100961
279270,72190
279270,346277
279270,346278
279270,279412
279270,346279
279270,170541
279270,19199
279270,62381
279270,40847
279270,66339
279270,13722
279270,6051
279270,346283
279270,114714
279270,20279
279270,346284
279270,346286
279270,210892
279270,346288
279270,346290
279270,21906
279270,346293
279270,57655
279270,152232
279270,346295
279270,23982
279270,156070
279270,26689
279270,14704
279270,346296
279270,306531
279270,251334
279270,346298
279270,78665
279270,346299
279270,25281
279270,84238
279270,114715
279270,53344
279270,339195
279270,10512
279270,148924
279270,15915
279270,346305
279270,72554
279270,74072
279270,346306
279270,346307
279270,331277
279270,346308
279270,346310
279270,346311
279270,89165
279270,346314
279270,212128
279270,103130
279270,231227
279270,346316
279270,9625
279270,10429
279270,346318
279270,298937
279270,346320
279270,7419
279270,346322
279270,346323
279270,346324
279270,346325
279270,346326
279270,346327
279270,346328
279270,153542
279270,346330
279270,346331
279270,346332
279270,346334
279270,346337
279270,346338
279270,134747
279270,346339
279270,346341
279270,30232
279270,346342
279270,74412
279270,346344
279270,346346
279270,346348
279270,346349
279270,346351
279270,346352
279270,288228
279270,346356
279270,346357
279270,57916
279270,346359
279270,346361
279270,346363
279270,300463
279270,4205
279270,346368
279270,346369
279270,346371
279270,89381
279270,10623
279270,143358
279270,346374
279270,346375
279270,13612
279270,292264
279270,154699
279270,346377
279270,235612
279270,346380
279270,346381
279270,346384
279270,346385
279270,33875
279270,24908
279270,38342
279270,346389
279270,346390
279270,89190
279270,346397
279270,346399
279270,346400
279270,346402
279270,346403
279270,283912
279270,97479
279270,346409
279270,11634
279270,132272
279270,265130
279270,346413
279270,346415
279270,104458
279270,346417
279270,346418
279270,346419
279270,346422
279270,314319
279270,346423
279270,346430
279270,97354
279270,346431
279270,346433
279270,346435
279270,346436
279270,186723
279270,346439
279270,58133
279270,346440
279270,346442
279270,346443
279270,346445
279270,346447
279270,346448
279270,346449
279270,346452
279270,346453
279270,346456
279270,346458
279270,346460
279270,346464
279270,346466
279270,216539
279270,346467
279270,194352
279270,346471
279270,64046
279270,346472
279270,214900
279270,346475
279270,346476
279270,346477
279270,315494
279270,346479
279270,346481
279270,346482
279270,74828
279270,346484
279270,346488
279270,346489
279270,346490
279270,346492
11063,7005
11063,10623
11063,29271
11063,25570
11063,14512
11063,36141
11063,6293
11063,9944
11063,13894
11063,25589
11063,9739
11063,21185
11063,18990
11063,12593
11063,69592
228178,88425
228178,25400
228178,78665
228178,11634
228178,5992
228178,16803
39764,346299
39764,11634
168883,25570
168883,73921
168883,7686
168883,8955
168883,13866
168883,10429
168883,52654
168883,62381
168883,8621
29640,25859
29640,7686
29640,11634
29640,17284
29640,5822
29640,5829
29640,25796
27641,11634
27641,34105
27641,9739
27641,11160
27641,29739
25623,14704
25623,34105
25646,25619
25646,49486
25646,11634
25646,61329
33875,9448
33875,11057
33875,8490
33875,75245
33875,89381
33875,8690
33875,9577
33875,25656
33875,21080
25688,25799
25688,25563
25688,25654
25688,1203
23641,8621
23641,17401
23641,9035
23641,9299
23641,6081
23641,15915
23641,9739
23641,28192
23641,25509
23641,11634
23641,19992
23641,5149
11634,11056
11634,25164
11634,25436
11634,10411
11634,25439
11634,24826
11634,25440
11634,25443
11634,25444
11634,7724
11634,25447
11634,25449
11634,25450
11634,25451
11634,25453
11634,25454
11634,9459
11634,25460
11634,7835
11634,25463
11634,19961
11634,25467
11634,11265
11634,25470
11634,25472
11634,25473
11634,25474
11634,25476
11634,25477
11634,9421
11634,25478
11634,25479
11634,25480
11634,25482
11634,5784
11634,11057
11634,25490
11634,25492
11634,25493
11634,25496
