,Source,Destination,Class,Page_Rank_Src,Page_Rank_Dst,Shortest_Path,Followers_Src,Followees_Src,Followers_Dst,Followees_Dst,Int_Followers,Int_Followees,Mutual_Follow,Adar_Index
0,Source,Target,1,0.0005069972216569939,0.0013950686397849045,9,0,1,2,0,0,0,0,0.0
1,36870,13495,1,0.0020937625156059445,0.0013841036994854839,5,0,9,3,0,0,0,0,0.0
2,36870,78665,1,0.0020937625156059445,0.00152646670838709,4,0,9,4,0,0,0,0,0.0
3,36870,11057,1,0.0020937625156059445,0.0015638185264791522,3,0,9,6,0,0,0,0,0.0
4,36870,15002,1,0.0020937625156059445,0.0030592440452281633,4,0,9,3,1,0,0,0,0.0
5,36870,21906,1,0.0020937625156059445,0.0007649575715578639,5,0,9,5,0,0,0,0,0.0
6,36870,78814,1,0.0020937625156059445,0.0010324491658058493,5,0,9,3,0,0,0,0,0.0
7,36870,30430,1,0.0020937625156059445,0.00250311250348434,4,0,9,2,5,0,0,0,0.0
8,36870,11576,1,0.0020937625156059445,0.0008235292890560924,6,0,9,4,0,0,0,0,0.0
9,36870,9459,1,0.0020937625156059445,0.0008339367614683514,3,0,9,4,0,0,0,0,0.0
10,112699,191431,1,0.00046292006885622727,0.00057106535742821,2,0,213,2,0,0,0,0,0.0
11,112699,84166,1,0.00046292006885622727,0.0003650259751862213,-1,0,213,0,8,0,6,0,19.931568569324174
12,112699,11578,1,0.00046292006885622727,0.0007321880667932527,2,0,213,4,0,0,0,0,0.0
13,112699,191631,1,0.00046292006885622727,0.0005510481012195527,3,0,213,2,0,0,0,0,0.0
14,112699,34765,1,0.00046292006885622727,0.0003650259751862213,-1,0,213,0,0,0,0,0,0.0
15,112699,23431,1,0.00046292006885622727,0.00042004922921765167,3,0,213,1,2,0,1,0,3.321928094887362
16,112699,80593,1,0.00046292006885622727,0.0003650259751862213,-1,0,213,0,0,0,0,0,0.0
17,112699,60512,1,0.00046292006885622727,0.0005820439625027728,3,0,213,3,0,0,0,0,0.0
18,112699,23445,1,0.00046292006885622727,0.001009068844104874,3,0,213,1,0,0,0,0,0.0
19,112699,40571,1,0.00046292006885622727,0.0007997012476077894,4,0,213,1,0,0,0,0,0.0
20,112699,320810,1,0.00046292006885622727,0.0029326984401212104,3,0,213,1,0,0,0,0,0.0
21,112699,9691,1,0.00046292006885622727,0.003346895469916023,2,0,213,1,0,0,0,0,0.0
22,112699,40516,1,0.00046292006885622727,0.0018335012576294503,2,0,213,2,0,0,0,0,0.0
23,112699,42781,1,0.00046292006885622727,0.0013696704686616704,3,0,213,1,0,0,0,0,0.0
24,112699,23446,1,0.00046292006885622727,0.0006993699046595387,3,0,213,2,0,0,0,0,0.0
25,112699,23435,1,0.00046292006885622727,0.001745586017409476,2,0,213,1,0,0,0,0,0.0
26,112699,213633,1,0.00046292006885622727,0.0005222904387440271,5,0,213,1,0,0,0,0,0.0
27,112699,23439,1,0.00046292006885622727,0.0007685796140188086,2,0,213,1,1,0,0,0,0.0
28,112699,106346,1,0.00046292006885622727,0.0006561144016454241,5,0,213,1,0,0,0,0,0.0
29,112699,40519,1,0.00046292006885622727,0.0008982404036751931,3,0,213,1,1,0,0,0,0.0
30,112699,25655,1,0.00046292006885622727,0.0006875521688883396,2,0,213,1,0,0,0,0,0.0
31,112699,213637,1,0.00046292006885622727,0.0014616691752462364,2,0,213,1,0,0,0,0,0.0
32,112699,338553,1,0.00046292006885622727,0.0004853463190014714,2,0,213,1,2,0,0,0,0.0
33,112699,11576,1,0.00046292006885622727,0.0008235292890560924,2,0,213,4,0,0,0,0,0.0
34,112699,69592,1,0.00046292006885622727,0.0003856256083029175,-1,0,213,0,0,0,0,0,0.0
35,112699,24651,1,0.00046292006885622727,0.0006640918477824307,2,0,213,4,1,0,0,0,0.0
36,112699,170101,1,0.00046292006885622727,0.0004981819153690849,2,0,213,1,0,0,0,0,0.0
37,112699,213645,1,0.00046292006885622727,0.0006470738006440788,2,0,213,1,0,0,0,0,0.0
38,112699,23454,1,0.00046292006885622727,0.0007840933731907836,3,0,213,3,0,0,0,0,0.0
39,112699,339160,1,0.00046292006885622727,0.000634250107999042,4,0,213,1,0,0,0,0,0.0
40,112699,191446,1,0.00046292006885622727,0.00039605256756373276,-1,0,213,0,1,0,0,0,0.0
41,112699,277736,1,0.00046292006885622727,0.0010740489509932405,2,0,213,1,0,0,0,0,0.0
42,112699,434489,1,0.00046292006885622727,0.0007094061577069641,3,0,213,1,0,0,0,0,0.0
43,112699,434490,1,0.00046292006885622727,0.0008395732195462845,3,0,213,1,0,0,0,0,0.0
44,112699,339231,1,0.00046292006885622727,0.0007138022713153763,4,0,213,1,0,0,0,0,0.0
45,112699,213736,1,0.00046292006885622727,0.0006844402576587274,3,0,213,1,0,0,0,0,0.0
46,112699,213804,1,0.00046292006885622727,0.0006010278265042226,5,0,213,1,1,0,0,0,0.0
47,112699,40523,1,0.00046292006885622727,0.0010638356056958452,4,0,213,1,0,0,0,0,0.0
48,112699,389005,1,0.00046292006885622727,0.0003650259751862213,-1,0,213,0,0,0,0,0,0.0
49,112699,21337,1,0.00046292006885622727,0.0006437829391413108,2,0,213,1,0,0,0,0,0.0
50,112699,23437,1,0.00046292006885622727,0.0012282122301392896,2,0,213,1,0,0,0,0,0.0
51,112699,62166,1,0.00046292006885622727,0.0003650259751862213,-1,0,213,0,0,0,0,0,0.0
52,112699,213725,1,0.00046292006885622727,0.000640026887907584,3,0,213,1,0,0,0,0,0.0
53,112699,434492,1,0.00046292006885622727,0.0003650259751862213,-1,0,213,0,0,0,0,0,0.0
54,112699,434493,1,0.00046292006885622727,0.0012851770493159445,2,0,213,1,0,0,0,0,0.0
55,112699,434494,1,0.00046292006885622727,0.001132871624262678,3,0,213,1,0,0,0,0,0.0
56,112699,434495,1,0.00046292006885622727,0.0023265045379045053,3,0,213,1,0,0,0,0,0.0
57,112699,28930,1,0.00046292006885622727,0.001032260502046853,3,0,213,4,0,0,0,0,0.0
58,112699,434497,1,0.00046292006885622727,0.00047149740267705666,3,0,213,1,0,0,0,0,0.0
59,112699,434498,1,0.00046292006885622727,0.0007297285006083564,4,0,213,1,0,0,0,0,0.0
60,112699,434499,1,0.00046292006885622727,0.0018574671615651068,3,0,213,1,1,0,1,0,1.660964047443681
61,112699,434500,1,0.00046292006885622727,0.0003650259751862213,-1,0,213,0,0,0,0,0,0.0
62,112699,191592,1,0.00046292006885622727,0.002109453429661608,3,0,213,2,0,0,0,0,0.0
63,112699,213850,1,0.00046292006885622727,0.000803648442018917,3,0,213,1,0,0,0,0,0.0
64,112699,124796,1,0.00046292006885622727,0.0005025342753971174,2,0,213,1,1,0,0,0,0.0
65,112699,273476,1,0.00046292006885622727,0.0003650259751862213,-1,0,213,0,0,0,0,0,0.0
66,112699,191730,1,0.00046292006885622727,0.0007332245527458367,2,0,213,2,0,0,0,0,0.0
67,112699,213750,1,0.00046292006885622727,0.001123311256287703,3,0,213,1,0,0,0,0,0.0
68,112699,434501,1,0.00046292006885622727,0.001437971338577611,3,0,213,1,0,0,0,0,0.0
69,112699,191678,1,0.00046292006885622727,0.0013666491286359913,3,0,213,2,2,0,0,0,0.0
70,112699,8968,1,0.00046292006885622727,0.002808619824310168,2,0,213,4,0,0,0,0,0.0
71,112699,4959,1,0.00046292006885622727,0.000832416983695351,2,0,213,1,0,0,0,0,0.0
72,112699,213657,1,0.00046292006885622727,0.0038673705070546727,2,0,213,1,0,0,0,0,0.0
73,112699,339149,1,0.00046292006885622727,0.0015245749606693586,2,0,213,2,0,0,0,0,0.0
74,112699,213706,1,0.00046292006885622727,0.0005252125771142669,2,0,213,1,0,0,0,0,0.0
75,112699,339025,1,0.00046292006885622727,0.002393751855665844,2,0,213,1,0,0,0,0,0.0
76,112699,40576,1,0.00046292006885622727,0.0005681291738461935,4,0,213,2,1,0,0,0,0.0
77,112699,98231,1,0.00046292006885622727,0.0007016729986499231,4,0,213,1,0,0,0,0,0.0
78,112699,11634,1,0.00046292006885622727,0.003690672733236942,3,0,213,34,179,0,0,0,0.0
79,112699,389012,1,0.00046292006885622727,0.0007833295735457592,2,0,213,1,0,0,0,0,0.0
80,112699,11582,1,0.00046292006885622727,0.0008436139190942131,4,0,213,2,0,0,0,0,0.0
81,112699,434506,1,0.00046292006885622727,0.0003650259751862213,-1,0,213,0,0,0,0,0,0.0
82,112699,434508,1,0.00046292006885622727,0.0005222904387440271,5,0,213,1,0,0,0,0,0.0
83,112699,213866,1,0.00046292006885622727,0.0022780806069334207,2,0,213,1,0,0,0,0,0.0
