Source,Target
4135,291716
102646,11606
102646,291908
14602,11267
14602,33404
14602,33443
14602,10986
8585,9107
33404,361857
33404,279149
33404,361858
33404,361861
33404,361862
33404,361863
33404,361864
33404,361867
33404,361868
33404,361870
33404,361874
33404,361875
33404,361877
33404,361879
33404,361881
33404,361884
33404,361886
33404,361887
33404,361890
33404,221072
33404,361893
33404,361894
33404,361897
33404,143982
33404,70837
33404,361899
33404,6334
33404,17491
33404,48494
33404,361901
33404,361906
33404,361908
33404,361909
33404,256644
33404,361911
33404,361912
33404,361913
33404,361916
33404,361918
33404,361920
33404,361929
33404,361930
33404,361932
33404,291714
33404,361933
33404,361934
33404,50778
33404,56457
33404,361935
33404,361936
33404,79579
33404,361938
33404,361939
33404,361940
33404,361941
33404,361942
33404,361943
33404,361944
33404,361945
33404,266014
33404,115468
33404,361947
33404,361948
33404,361951
33404,361953
33404,145222
33404,361954
33404,361955
33404,361958
33404,361960
33404,361961
33404,109978
33404,361968
33404,361969
33404,125245
33404,361970
33404,98280
33404,361971
33404,289742
33404,361973
33404,361975
33404,361977
33404,55341
33404,70103
33404,361979
33404,361982
33404,361984
33404,361986
33404,361987
33404,51995
33404,361991
33404,361992
33404,107971
33404,137
33404,239606
33404,361996
33404,361999
33404,362000
33404,352667
33404,362002
33404,362003
33404,362004
33404,362005
33404,362006
33404,362007
33404,362008
33404,362011
33404,362013
33404,362015
33404,362016
33404,362019
33404,362020
33404,362021
33404,362024
33404,362026
33404,362028
33404,362030
33404,362034
33404,362035
33404,362036
33404,362037
33404,362041
33404,362042
33404,362043
33404,362044
33404,31039
33404,3277
33404,362047
33404,362049
33404,362051
33404,362052
33404,297743
33404,362054
33404,362055
33404,132730
33404,362057
33404,362060
33404,362061
33404,240972
33404,362063
33404,362066
33404,362067
33404,362068
33404,362070
33404,2870
33404,105508
33404,362073
33404,123656
33404,362076
33404,124262
33404,362077
33404,362078
33404,159174
33404,129236
33404,362084
33404,362088
33404,362090
33404,362095
33404,273717
33404,362096
33404,362099
33404,166827
33404,16809
33404,295972
33404,362101
33404,362102
33404,343317
33404,362103
33404,362105
33404,362107
33404,102657
33404,362109
33404,181770
33404,362110
33404,117478
33404,362111
33404,298670
33404,78981
33404,23655
33404,18960
33404,362116
33404,362117
33404,362118
33404,362121
33404,17602
33404,362122
33404,174380
33404,90117
33404,73874
33404,362125
33404,12782
33404,281580
33404,96245
33404,215228
33404,362129
33404,362132
33404,179660
33404,116587
33404,362135
33404,362136
33404,258689
33404,362138
33404,362142
33404,362144
33404,362145
33404,92721
33404,362146
33404,362147
33404,205102
33404,362148
33404,362149
33404,14602
33404,362151
33404,362152
33404,28850
33404,362154
33404,362155
33404,362156
33404,156253
33404,362158
33404,14747
33404,20742
33404,362161
33404,11606
33404,362163
33404,32458
33404,362165
33404,362166
33404,140582
33404,362167
33404,362168
33404,362169
33404,105826
33404,362170
33404,362171
33404,61703
33404,362172
33404,362173
33404,362174
33404,362175
33404,362176
33404,362179
33404,277192
33404,362181
33404,362182
33404,362183
33404,362184
33404,362185
33404,126563
27272,9914
27272,9107
35479,176542
25273,9107
37637,46195
291898,194023
291898,437096
291898,137727
291898,72607
291898,4298
291898,12896
291898,69551
291898,11267
291898,108081
291898,437101
291898,324885
291898,437102
291898,435008
291898,282786
291898,23685
291898,90851
291898,437105
291898,437106
291898,437107
291898,437108
291898,437109
291898,437110
291898,437111
291898,75716
291898,14840
291898,424603
291898,143414
291898,434975
291898,437112
291898,41408
291898,135003
291898,29050
291898,23478
291898,182198
291898,7461
291898,84949
291898,35537
291898,437116
291898,39295
291898,352409
291898,181508
291898,43162
291898,128675
291898,199539
291898,437121
291898,69453
291898,218786
291898,437123
291898,59712
291898,84923
291898,437131
291898,41122
291898,437134
291898,437136
291898,437139
291898,437141
291898,437143
291898,437144
291898,437145
291898,437147
291898,437148
291898,437149
291898,8163
291898,437150
291898,45961
291898,437151
291898,437153
291898,15429
291898,437155
291898,27882
291898,111213
291898,303782
291898,437158
291898,51698
291898,414523
291898,437159
291898,437161
291898,437163
291898,437165
291898,85249
291898,437166
291898,437167
291898,437170
291898,437171
291898,437172
291898,437174
291898,437175
291898,36346
291898,218827
291898,437177
291898,5916
291898,62169
291898,437178
291898,85147
291898,437179
291898,20020
291898,188397
291898,29902
291898,437181
291898,437183
291898,3554
291898,435983
291898,11716
291898,41373
291898,437186
291898,437188
291898,38242
291898,437189
291898,437190
291898,4167
291898,437192
291898,390865
291898,403891
291898,437193
291898,366068
291898,437194
291898,437195
291898,25857
291898,28834
291898,3410
291898,225367
291898,437200
291898,2650
291898,85139
291898,85236
291898,437201
291898,3430
291898,85133
291898,437202
291898,437204
291898,437205
291898,178149
291898,190472
291898,268754
291898,204818
291898,324887
291898,287155
291898,391701
291898,437213
291898,133055
291898,437215
291898,437216
291898,437217
291898,437218
291898,395629
291898,437219
291898,229185
291898,166038
291898,437220
291898,310385
291898,437222
291898,437223
291898,46269
291898,437225
291898,437226
291898,190847
291898,437230
291898,172996
291898,225559
291898,437231
291898,437233
291898,437235
291898,181618
291898,212541
291898,363125
291898,6649
291898,437238
291898,148498
291898,437240
291898,96983
291898,106436
291898,437244
291898,437245
291898,437246
291898,437247
291898,437248
291898,437249
291898,84907
291898,437250
291898,437253
291898,370395
291898,3577
291898,11864
291898,245124
291898,70502
291898,84981
291898,4290
291898,278639
291898,85054
291898,164079
291898,437262
291898,5449
291898,126131
291898,275814
291898,395317
291898,220628
291898,437264
291898,437265
291898,437267
291898,437269
291898,51615
291898,437272
291898,437273
291898,437275
291898,85272
291898,93244
291898,437276
291898,118393
291898,5483
291898,42029
291898,40227
291898,196960
291898,267395
291898,33443
291898,246168
291898,8551
291898,10986
291898,70027
291898,24615
291898,196952
291898,437286
291898,437289
291898,437290
291898,437291
291898,110445
291898,308933
291898,437294
291898,30090
291898,437295
291898,85159
291898,135499
291898,4971
291898,5567
291898,437297
291898,437298
291898,437299
291898,310000
291898,15499
291898,437301
291898,437303
291898,437304
291898,437305
291898,323514
291898,41432
291898,118092
291898,437306
291898,1380
291898,24472
291898,437307
291898,437309
291898,437310
291898,437311
291898,46598
291898,29955
291898,34404
291898,437312
46179,143414
46179,143518
46179,143771
46179,143772
64874,20742
64874,56457
64874,9107
64874,79080
212376,358571
212376,443087
212376,443088
212376,443089
212376,76891
212376,443090
212376,443091
212376,90221
212376,443094
212376,443097
212376,443101
212376,443104
212376,443107
212376,261853
212376,443108
212376,443109
212376,443110
212376,34357
212376,34363
212376,39177
212376,135415
212376,239966
212376,443113
212376,38318
212376,443114
212376,443115
212376,443116
212376,443118
212376,391941
212376,443119
212376,443120
212376,261556
212376,261862
212376,261928
212376,11066
212376,443121
212376,261927
212376,443125
212376,443126
212376,443127
212376,443128
212376,28937
212376,443130
212376,443131
212376,80807
212376,35855
212376,443140
212376,1380
212376,443141
212376,31441
212376,443143
212376,359873
212376,72744
212376,443144
212376,443145
212376,78202
212376,443146
212376,443147
212376,443148
212376,443149
212376,443150
212376,46207
212376,443153
212376,443156
212376,443157
212376,51253
212376,443161
212376,204969
212376,443163
212376,20566
212376,73112
212376,1405
212376,443165
212376,443166
212376,234101
212376,422709
212376,210354
212376,443173
212376,311726
212376,76854
212376,443174
212376,290746
212376,301164
212376,443175
212376,306195
212376,443176
212376,443177
212376,443178
212376,212358
212376,386053
212376,443179
212376,443180
212376,47948
212376,408977
212376,443184
212376,93801
212376,443187
212376,443188
212376,443189
212376,443190
212376,443191
212376,443192
212376,443193
212376,443194
212376,443196
212376,443198
212376,443199
212376,212312
212376,443202
212376,17218
212376,443206
212376,24926
212376,203386
212376,11214
212376,27774
212376,443209
212376,151411
212376,443212
212376,443215
212376,443216
212376,228410
212376,391937
212376,25879
212376,443220
212376,135504
212376,78446
212376,9914
212376,30175
212376,46195
212376,291821
212376,311686
212376,443226
212376,15380
212376,443229
212376,15922
212376,153810
212376,443231
212376,443232
212376,290613
212376,36185
212376,380042
212376,228083
212376,397841
212376,443237
212376,443238
212376,443239
212376,135576
212376,38140
212376,135498
212376,443240
212376,443241
212376,135525
212376,10174
212376,20569
212376,443243
212376,62387
212376,46596
212376,272530
212376,122234
212376,272532
212376,272533
212376,272534
212376,144892
212376,272535
212376,272536
212376,256174
212376,4640
212376,117118
212376,42071
212376,425609
212376,26152
212376,29955
212376,7461
212376,5446
212376,443251
212376,259509
212376,443253
212376,443255
212376,443256
212376,443257
212376,443258
212376,443259
212376,9069
212376,443262
212376,443264
212376,443265
212376,443266
212376,443267
212376,443268
212376,443269
212376,443271
212376,443272
212376,227135
212376,443281
212376,46150
212376,43916
212376,205205
212376,11846
212376,97974
212376,217585
212376,443285
212376,189409
212376,224091
212376,276487
212376,443286
212376,443287
212376,96924
212376,361486
212376,18943
212376,151471
212376,443291
212376,443292
212376,443293
212376,443295
212376,443297
212376,6356
212376,433893
212376,231498
212376,207360
212376,443299
212376,25376
212376,443300
212376,37637
212376,229668
212376,84267
212376,443302
212376,6662
212376,96509
212376,443305
212376,443306
212376,96890
212376,146102
77297,11267
77297,9107
52737,179660
52737,140582
52737,148498
52737,291926
52737,46150
224916,7461
224916,9107
42685,11864
42685,7461
42685,9107
42685,1405
42685,11606
59157,35855
59157,25376
59157,46195
59157,9107
44833,9107
151332,9107
151332,23685
151460,20020
151460,9107
110503,9107
106436,291703
106436,291704
106436,46792
106436,291707
106436,291708
106436,41912
106436,42029
106436,291709
106436,291710
106436,56582
106436,11781
106436,291711
106436,291712
106436,291713
106436,291714
106436,291715
106436,291716
106436,291717
106436,291718
106436,291720
106436,291721
106436,218830
106436,291722
106436,61640
106436,291724
106436,291725
106436,175890
106436,291729
106436,55579
106436,291732
106436,9107
106436,291735
106436,291736
106436,291737
106436,291740
106436,291741
106436,291742
106436,176542
106436,291743
106436,291746
106436,291747
106436,43724
106436,291749
106436,17382
106436,291753
106436,143518
106436,291758
106436,169131
106436,291760
106436,291762
106436,189071
106436,291764
106436,181499
106436,291769
106436,291770
106436,291771
106436,291772
106436,291773
106436,291774
106436,43926
106436,15959
106436,12034
106436,16157
106436,291783
106436,291784
106436,291786
106436,291787
106436,291788
106436,291789
106436,291791
106436,291792
106436,163984
106436,291793
106436,291794
106436,291797
106436,291798
106436,291799
106436,291800
106436,166549
106436,291802
106436,66453
106436,290746
106436,291806
106436,291807
106436,25639
106436,291810
106436,178519
106436,291816
106436,291817
106436,291818
106436,291820
106436,65646
106436,143772
106436,71642
106436,291821
106436,291822
106436,291823
106436,291824
106436,38538
106436,291826
106436,291829
106436,146054
106436,143771
106436,291832
106436,291834
106436,291835
106436,212376
106436,239961
106436,291838
106436,291841
106436,135560
106436,82888
106436,291842
106436,291843
106436,291844
106436,291845
106436,291846
106436,291847
106436,291850
106436,291851
106436,291853
106436,291854
106436,291855
106436,291856
106436,291857
106436,291858
106436,291859
106436,291860
106436,291862
106436,291863
106436,291864
106436,291869
106436,291870
106436,46198
106436,291872
106436,291873
106436,232797
106436,291875
106436,291878
106436,275860
106436,291880
106436,291881
106436,291886
106436,291888
106436,263437
106436,291891
106436,291893
106436,291897
106436,291898
106436,118087
106436,13477
106436,291901
106436,291902
106436,291904
106436,291905
106436,291906
106436,291907
106436,14162
106436,85103
106436,9065
106436,291908
106436,202945
106436,291909
106436,291910
106436,291911
106436,291915
106436,291920
106436,291921
106436,5683
106436,291923
106436,291924
106436,291925
106436,291926
106436,291929
106436,291930
106436,231600
106436,291933
106436,215642
106436,291935
106436,291936
106436,291938
106436,291939
106436,291941
106436,213335
106436,291944
106436,291945
106436,291946
106436,291947
106436,291948
106436,291952
106436,291956
106436,291959
106436,291960
106436,291962
106436,291963
106436,291964
106436,291968
106436,291970
106436,291971
106436,291972
106436,291979
106436,50454
106436,291981
106436,291982
106436,291983
106436,291984
106436,291985
106436,291986
106436,291989
106436,291990
106436,261954
106436,105091
106436,291995
106436,36738
106436,291996
106436,291998
106436,291999
106436,292002
106436,292003
106436,83455
106436,292008
106436,292014
106436,190088
106436,1380
106436,2650
106436,292021
106436,257003
106436,292026
106436,292027
106436,292029
106436,292030
106436,292033
106436,292035
106436,23833
106436,292036
106436,292037
106436,292039
106436,159381
106436,212476
106436,264209
106436,5451
106436,47750
106436,45317
106436,189724
106436,292043
106436,292044
106436,292045
106436,292046
106436,29845
106436,292047
106436,34350
106436,292049
106436,79080
106436,292050
