Source,Target
59399,5797
59399,87136
59399,11712
59399,34160
59399,12616
59399,21912
180248,11864
180248,14693
180248,11344
180248,18222
180248,14047
180248,12657
180248,11361
180248,13917
43036,12657
43036,181
43036,5812
43036,7839
43036,10269
43036,7807
63549,5812
63549,79991
63549,9431
63549,8837
63549,23879
63549,22250
63549,8590
63549,6748
63549,11258
43074,77765
43074,12765
43074,131002
43074,87990
120913,15232
120913,12616
170072,5812
170072,18222
170072,12789
170072,8921
170072,14639
170072,5814
170072,14736
170072,14704
170072,14044
170072,14693
24705,11258
24705,31196
24705,12616
24705,49452
24705,49451
24705,49450
24705,5797
24705,11553
24705,36448
24705,11563
24705,7998
24705,18228
2181,1405
39063,8614
39063,12616
39063,7011
39063,76585
268445,12991
268445,12657
268445,79991
268445,11336
268445,181
268445,11986
268445,10485
268445,11506
268445,14688
268445,5812
268445,11864
268445,7998
268445,136959
268445,82809
268445,5110
37044,51409
37044,8770
37044,19883
37044,5110
37044,50312
37044,159988
37044,136939
161985,1405
22724,10485
22724,68180
22724,25230
22724,12991
22724,11506
22724,136921
22724,31196
22724,85853
22724,5814
22724,5812
22724,9255
22724,50368
22724,25369
22724,27660
22724,11344
227537,137040
16605,12616
16605,22250
16614,23879
16614,22250
16614,10485
16614,7742
16614,30271
8427,34162
8427,181
8427,7807
8427,30902
8427,29484
8427,27660
8427,62300
8427,13466
8427,62355
51436,24126
51436,51327
51436,23879
213231,1405
33016,12616
33016,79991
33016,21912
33016,8614
33016,11073
84238,25315
84238,63819
84238,6748
84238,31196
84238,8770
84238,14131
84238,30902
84238,29484
84238,51327
84238,11258
84238,119485
114974,1405
51490,14722
51490,1405
51490,11563
12580,9431
12580,68051
12580,68083
12580,28538
12580,51376
12580,68167
12580,14249
12580,68180
12580,8848
12580,25230
12580,10485
323876,137051
323876,324251
323876,324252
307,119485
61748,20671
61748,14131
61748,17570
61748,11553
61748,5110
61748,11563
61748,133035
61748,104682
61748,24875
53574,1405
285009,1405
285009,133035
285009,119485
285009,14196
285009,164966
285009,69236
285009,13466
285009,12640
61779,21912
61779,10269
61779,115439
61779,14131
61779,9255
61779,5628
61779,20753
61779,168
61779,13282
61779,120913
61779,10485
61779,16497
84322,51611
84322,119485
84322,11563
84322,14722
84322,14705
84322,5659
268668,113269
268668,11336
268668,68180
268668,52580
268668,23879
268668,11344
268668,11986
268668,14152
268668,13282
268668,9431
268668,50312
268668,5797
268668,5644
268668,18228
170371,1405
10630,9255
149894,63819
149894,52639
149894,5812
149894,5814
149894,79991
149894,51409
149894,188102
149894,14152
149894,76585
149894,18128
149894,14044
149894,11073
149894,12991
258440,5024
258440,1405
252297,11336
252297,18222
252297,11344
252297,11986
252297,6781
252297,21912
252297,29484
252297,9255
252297,168
252297,11565
29068,11506
29068,5812
29068,5814
29068,8837
29068,5797
29068,14705
29068,24796
29068,8590
29068,12991
29068,11344
29068,11864
29068,18222
29068,20671
29068,13466
29068,14722
29068,209
63905,11565
63905,21912
63905,1405
53679,49443
53679,1405
246193,30817
246193,1405
82356,9255
82356,69236
82356,213529
82356,14693
82356,168
82356,8921
82356,34160
82356,5024
82356,6748
258485,9255
74171,1405
238013,5024
238013,14704
238013,14736
238013,14047
238013,136941
238013,11344
238016,5814
238016,189824
238016,20026
238016,34162
238016,49443
238016,9158
238016,7998
238016,18222
238016,18228
238016,14704
238016,63819
238016,14639
238016,14131
238016,14705
238016,1405
238016,13128
238016,11864
238016,69075
238016,59311
238016,75534
238016,12078
70081,14196
70081,208047
70081,35240
70081,12765
70081,7011
61890,9671
61890,8837
61890,51376
61890,24737
61890,18128
61890,8770
61890,79991
61890,7011
61890,14152
61890,11258
61890,13282
61890,5812
61890,11553
61890,5110
61890,11563
61890,52639
61890,13917
61890,14743
61890,49443
61890,69075
22987,14704
22987,14705
22987,9255
22987,9158
22987,15364
22987,21912
68051,12580
68051,7807
68051,16497
68051,9431
68051,18399
68051,8848
68051,16605
68051,11258
68051,5797
68051,18222
68051,5812
68051,5814
68051,85672
68051,18228
68051,75406
6619,75363
6619,23879
6619,75406
6619,75411
6619,75441
6619,25230
260573,136926
260573,286529
260573,1405
16878,19883
16878,1405
72188,6599
72188,12657
72188,136912
72188,136966
2555,1405
2555,2636
57860,8921
57860,2945
57860,14047
57860,14693
57860,8590
57860,209
57860,11258
