,Source,Destination,Class,Page_Rank_Src,Page_Rank_Dst,Shortest_Path,Followers_Src,Followees_Src,Followers_Dst,Followees_Dst,Int_Followers,Int_Followees,Mutual_Follow,Adar_Index
54,24705,36448,1,0.0007679993742535621,0.0015368178327220677,5,0,15,5,0,0,0,0,0.0
55,24705,11563,1,0.0007679993742535621,0.0017193733701153676,4,0,15,17,0,0,0,0,0.0
56,24705,7998,1,0.0007679993742535621,0.0013368958446203344,4,0,15,14,2,0,0,0,0.0
57,24705,18228,1,0.0007679993742535621,0.0014120364160996215,2,0,15,15,5,0,0,0,0.0
58,2181,1405,1,0.0004344919953725711,0.01965140300061108,5,2,1,89,0,1,0,0,0.0
59,39063,8614,1,0.0006715010446240951,0.0011033770069563385,3,5,4,10,0,1,0,0,0.0
60,39063,12616,1,0.0006715010446240951,0.002246559644602014,3,5,4,24,0,0,0,0,0.0
61,39063,7011,1,0.0006715010446240951,0.0028876399405476307,5,5,4,11,14,0,0,1,0.0
62,39063,76585,1,0.0006715010446240951,0.0008028685881296765,4,5,4,5,11,0,0,1,0.0
63,268445,12991,1,0.0018012007021712174,0.001668576643980067,4,1,17,15,0,0,0,0,0.0
64,268445,12657,1,0.0018012007021712174,0.0014671616963950922,3,1,17,13,1,0,1,0,0.756304195516401
65,268445,79991,1,0.0018012007021712174,0.0015680939283567717,2,1,17,13,4,0,0,0,0.0
66,268445,11336,1,0.0018012007021712174,0.002143107495255423,4,1,17,12,3,0,1,0,0.8725028695491559
67,268445,181,1,0.0018012007021712174,0.0013036962694555024,2,1,17,14,0,0,0,0,0.0
68,268445,11986,1,0.0018012007021712174,0.0019069876854402091,4,1,17,13,0,0,0,0,0.0
69,268445,10485,1,0.0018012007021712174,0.004143810416403718,2,1,17,21,2,0,0,0,0.0
70,268445,11506,1,0.0018012007021712174,0.0028969695031909864,4,1,17,19,4,0,0,0,0.0
71,268445,14688,1,0.0018012007021712174,0.0008523802635310182,4,1,17,13,0,0,0,0,0.0
72,268445,5812,1,0.0018012007021712174,0.0012343379728764333,2,1,17,18,4,0,0,0,0.0
73,268445,11864,1,0.0018012007021712174,0.0021351667940215833,3,1,17,18,7,0,1,0,0.8725028695491559
74,268445,7998,1,0.0018012007021712174,0.0013368958446203344,4,1,17,14,2,0,0,0,0.0
75,268445,136959,1,0.0018012007021712174,0.0006283938680669259,5,1,17,6,2,0,0,0,0.0
76,268445,82809,1,0.0018012007021712174,0.0010772399549797685,5,1,17,3,2,0,0,0,0.0
77,268445,5110,1,0.0018012007021712174,0.00148922321885886,2,1,17,14,0,0,0,0,0.0
78,37044,51409,1,0.00021111202760055786,0.0004060089942512182,5,0,8,4,1,0,0,0,0.0
79,37044,8770,1,0.00021111202760055786,0.0012389191567905022,5,0,8,16,4,0,0,0,0.0
80,37044,19883,1,0.00021111202760055786,0.001965185801344289,5,0,8,8,1,0,0,0,0.0
81,37044,5110,1,0.00021111202760055786,0.00148922321885886,5,0,8,14,0,0,0,0,0.0
82,37044,50312,1,0.00021111202760055786,0.000790677094142718,5,0,8,8,5,0,0,0,0.0
83,37044,159988,1,0.00021111202760055786,0.0008267886210789662,6,0,8,5,5,0,0,0,0.0
84,37044,136939,1,0.00021111202760055786,0.0009229961863507603,3,0,8,6,2,0,0,0,0.0
85,161985,1405,1,0.0011283958641688636,0.01965140300061108,3,0,7,89,0,0,0,0,0.0
86,22724,10485,1,0.0008585069571441038,0.004143810416403718,3,2,16,21,2,0,0,0,0.0
87,22724,68180,1,0.0008585069571441038,0.00037440306726231403,5,2,16,4,0,0,0,0,0.0
88,22724,25230,1,0.0008585069571441038,0.0013284249548220143,2,2,16,13,0,0,0,0,0.0
89,22724,12991,1,0.0008585069571441038,0.001668576643980067,4,2,16,15,0,0,0,0,0.0
90,22724,11506,1,0.0008585069571441038,0.0028969695031909864,3,2,16,19,4,0,1,0,1.1832946624549383
91,22724,136921,1,0.0008585069571441038,0.002606985020140136,5,2,16,4,0,0,0,0,0.0
92,22724,31196,1,0.0008585069571441038,0.0022799737290256114,3,2,16,7,1,0,0,0,0.0
93,22724,85853,1,0.0008585069571441038,0.001288345745877237,3,2,16,3,4,0,1,0,0.8977117175026231
94,22724,5814,1,0.0008585069571441038,0.0009878234918947388,4,2,16,16,2,0,0,0,0.0
95,22724,5812,1,0.0008585069571441038,0.0012343379728764333,4,2,16,18,4,0,0,0,0.0
96,22724,9255,1,0.0008585069571441038,0.002182898923927915,4,2,16,24,0,0,0,0,0.0
97,22724,50368,1,0.0008585069571441038,0.0010246514912988856,5,2,16,7,1,1,0,0,0.0
98,22724,25369,1,0.0008585069571441038,0.0018133182275544351,2,2,16,7,2,0,0,0,0.0
99,22724,27660,1,0.0008585069571441038,0.0006373149147311109,5,2,16,6,9,0,0,0,0.0
100,22724,11344,1,0.0008585069571441038,0.00133542294847318,3,2,16,15,2,0,0,0,0.0
101,227537,137040,1,0.0005844548270584626,0.0006677394305693123,4,0,6,7,2,0,0,0,0.0
102,16605,12616,1,0.0002406412477702133,0.002246559644602014,4,0,6,24,0,0,0,0,0.0
103,16605,22250,1,0.0002406412477702133,0.0017125093574660412,5,0,6,9,3,0,0,0,0.0
104,16614,23879,1,0.000459962124493609,0.0028322808708411474,3,2,9,24,5,0,0,0,0.0
105,16614,22250,1,0.000459962124493609,0.0017125093574660412,4,2,9,9,3,0,0,0,0.0
106,16614,10485,1,0.000459962124493609,0.004143810416403718,3,2,9,21,2,0,0,0,0.0
