Source,Target
12580,60604
12580,68068
12580,8848
12580,8950
12580,11412
33063,7568
33063,60723
33063,53623
33063,10518
33063,30355
33063,14378
33063,84660
33063,18228
33063,5762
33063,11612
14636,6389
14636,25416
14636,41548
14636,31384
14636,14715
14636,8950
14636,41785
14636,9610
14636,41843
14636,41875
14636,9708
14636,29674
10541,25416
10541,77514
10541,6359
10541,52198
10541,77729
10541,77765
10541,8950
10541,7858
18737,6714
18737,47571
18737,15329
18737,57756
18737,5964
18737,21133
18737,69983
280891,20710
280891,39794
280891,29797
280891,14746
280891,58003
280891,7861
280891,190203
280891,20844
153930,30355
153930,46016
153930,68335
153930,29797
153930,14378
153930,11412
153930,4885
74058,10987
74058,14763
74058,47898
74058,29279
74058,5762
74058,7867
74058,23949
74058,14094
74058,14746
74058,6389
74058,12000
57674,118755
57674,12670
57674,103245
57674,12628
57674,10518
57674,7568
57674,17303
57674,17314
33103,6684
33103,18873
33103,17420
33103,7867
33103,11620
33103,272865
33103,7568
33103,156890
33103,10755
33103,29708
33103,28964
33103,25416
33103,137272
33103,29346
33103,31937
33103,24012
33103,47475
285009,10471
285009,28316
285009,17349
285009,151460
285009,28964
285009,164966
285009,69236
285009,5762
285009,8950
61779,15329
61779,8668
61779,11412
61779,14094
29013,33264
29013,14017
29013,14715
29013,379
29013,73217
29013,26781
29013,47453
47453,29732
47453,25209
47453,24705
47453,21502
47453,19941
47453,20089
47453,19904
47453,8794
47453,30430
47453,49307
47453,6714
69983,14094
69983,18737
69983,52086
69983,30483
69983,61207
69983,23829
16738,16555
16738,49248
16738,34610
16738,49307
16738,9300
16738,35170
16738,49349
16738,49392
16738,49415
16738,12639
16738,7867
16738,12349
16738,12816
16738,12628
16738,31380
16738,14897
16738,30430
16738,17420
16738,12670
16746,12986
16746,12816
16746,29708
16746,17314
16746,13884
16746,60604
16746,60632
16746,14763
16746,60675
16746,60707
16746,11606
16746,60719
16746,60723
88429,6684
88429,13884
88429,32241
88429,57756
10607,9472
10607,15717
10607,9788
10607,6684
10607,5891
10607,10489
10607,15923
10607,15926
47475,167271
47475,69503
18808,10518
18808,8593
18808,3418
268668,7540
268668,27554
268668,10489
268668,7867
268668,47898
268668,29708
268668,27564
268668,36844
268668,12000
268668,36905
268668,23879
268668,315569
268668,12792
268668,8593
268668,15717
268668,5762
268668,69573
268668,18228
268668,11612
61829,60455
61829,51383
61829,23879
61829,14763
61829,23978
61829,18230
61829,13884
61829,29674
61829,18228
61829,11412
61829,84305
61829,12688
252297,55192
252297,21033
252297,7568
252297,12000
252297,58003
252297,8668
252297,24012
252297,19425
252297,11412
252297,25416
252297,11620
8585,7217
8585,14094
8585,50238
8585,52853
8585,6389
395,50732
395,5222
395,10987
395,14715
395,27708
29068,6389
29068,14715
29068,78768
29068,56491
29068,14017
29068,170
29068,379
12688,395816
12688,89406
12688,18873
12688,21133
12688,12816
12688,365096
84381,24052
84381,12670
