,Source,Destination,Class,Page_Rank_Src,Page_Rank_Dst,Shortest_Path,Followers_Src,Followees_Src,Followers_Dst,Followees_Dst,Int_Followers,Int_Followees
173,62990,98853,1,0.006000218904222919,0.0019579739255355536,3,3,157,4,0,0,0
174,62990,98854,1,0.006000218904222919,0.0011746049932152213,2,3,157,3,0,1,0
175,62990,98855,1,0.006000218904222919,0.0012431120143159254,3,3,157,1,0,0,0
176,62990,98856,1,0.006000218904222919,0.001081246581907677,2,3,157,3,2,0,1
177,62990,98859,1,0.006000218904222919,0.00032700834844576665,-1,3,157,0,0,0,0
178,62990,98861,1,0.006000218904222919,0.0005181332940151009,4,3,157,1,0,0,0
179,62990,90855,1,0.006000218904222919,0.0009754481095718976,2,3,157,4,3,1,1
180,62990,63205,1,0.006000218904222919,0.0008037096543830266,3,3,157,2,0,1,0
181,62990,98863,1,0.006000218904222919,0.0009127401105586371,3,3,157,4,2,0,0
182,62990,98864,1,0.006000218904222919,0.00043298249639255184,3,3,157,2,0,0,0
183,62990,98866,1,0.006000218904222919,0.0016246079501495351,2,3,157,2,0,0,0
184,62990,98868,1,0.006000218904222919,0.0003904655849825533,3,3,157,1,0,0,0
185,62990,98869,1,0.006000218904222919,0.000717534714973324,3,3,157,1,0,0,0
186,62990,98873,1,0.006000218904222919,0.0004133468306752297,4,3,157,1,1,0,0
187,62990,90884,1,0.006000218904222919,0.0006020826252754,2,3,157,5,0,1,0
188,62990,90889,1,0.006000218904222919,0.0003401728180775259,2,3,157,4,0,1,0
189,62990,98878,1,0.006000218904222919,0.002440773427520059,2,3,157,3,0,1,0
190,62990,98879,1,0.006000218904222919,0.0003327884521797685,4,3,157,2,0,0,0
191,62990,98884,1,0.006000218904222919,0.000910082981786166,2,3,157,2,1,0,0
192,62990,4843,1,0.006000218904222919,0.0008205585121626737,2,3,157,5,0,1,0
193,62990,98890,1,0.006000218904222919,0.0004659892252311123,2,3,157,1,0,0,0
194,62990,98894,1,0.006000218904222919,0.0007649089474187261,4,3,157,2,1,0,0
195,62990,98898,1,0.006000218904222919,0.000672425163539992,2,3,157,2,1,1,0
196,62990,98903,1,0.006000218904222919,0.003846790772023028,2,3,157,2,0,0,0
197,62990,63047,1,0.006000218904222919,0.0034973002149109524,3,3,157,4,0,1,0
198,62990,98905,1,0.006000218904222919,0.00032700834844576665,-1,3,157,0,0,0,0
199,62990,63182,1,0.006000218904222919,0.0012159417018076963,2,3,157,5,0,2,0
200,62990,98908,1,0.006000218904222919,0.00032700834844576665,-1,3,157,0,0,0,0
201,62990,98913,1,0.006000218904222919,0.00032700834844576665,-1,3,157,0,1,0,1
202,62990,98914,1,0.006000218904222919,0.0014130929932012566,3,3,157,2,2,0,0
203,62990,98915,1,0.006000218904222919,0.001444857345838682,3,3,157,1,0,0,0
204,62990,98916,1,0.006000218904222919,0.00032700834844576665,-1,3,157,0,0,0,0
205,62990,98917,1,0.006000218904222919,0.0012751709328867639,2,3,157,2,1,0,0
206,62990,98918,1,0.006000218904222919,0.0003289929089142675,2,3,157,2,0,1,0
207,62990,98920,1,0.006000218904222919,0.002979380031419738,2,3,157,4,2,0,1
208,62990,4842,1,0.006000218904222919,0.0014953085594941599,2,3,157,3,0,1,0
209,62990,98927,1,0.006000218904222919,0.0014015816297718313,2,3,157,4,0,1,0
210,62990,90844,1,0.006000218904222919,0.000345146935185141,3,3,157,4,0,0,0
211,62990,98928,1,0.006000218904222919,0.0004219005726858965,4,3,157,2,3,0,0
212,62990,98929,1,0.006000218904222919,0.0005941995536227094,3,3,157,4,0,0,0
213,62990,98930,1,0.006000218904222919,0.0007411148565217318,4,3,157,2,0,0,0
214,62990,98933,1,0.006000218904222919,0.0005655104079839881,4,3,157,1,0,0,0
215,62990,98937,1,0.006000218904222919,0.0004506540819316976,4,3,157,1,0,0,0
216,62990,98938,1,0.006000218904222919,0.0004529614021901653,3,3,157,2,0,0,0
217,62990,98940,1,0.006000218904222919,0.0009774474618184726,4,3,157,2,0,0,0
218,62990,98941,1,0.006000218904222919,0.0009333465597132222,3,3,157,3,0,0,0
219,62990,90861,1,0.006000218904222919,0.001643852875937649,3,3,157,3,0,0,0
220,62990,98944,1,0.006000218904222919,0.002367424171673401,3,3,157,1,0,0,0
221,62990,98945,1,0.006000218904222919,0.0006133172872590826,3,3,157,2,0,0,0
222,62990,98946,1,0.006000218904222919,0.0010017223500056874,2,3,157,4,0,0,0
223,62990,98949,1,0.006000218904222919,0.0018220095166291996,3,3,157,1,0,0,0
224,62990,63157,1,0.006000218904222919,0.000857284012222524,3,3,157,4,2,1,0
225,62990,98954,1,0.006000218904222919,0.0008797924793510874,3,3,157,2,0,0,0
226,62990,98956,1,0.006000218904222919,0.0005323966795623373,3,3,157,1,0,0,0
227,62990,98959,1,0.006000218904222919,0.0003817753277787772,3,3,157,2,0,0,0
228,62990,98960,1,0.006000218904222919,0.0021605468340211253,3,3,157,1,2,0,1
229,62990,98961,1,0.006000218904222919,0.0004596290009363334,3,3,157,1,0,0,0
230,62990,98962,1,0.006000218904222919,0.00033477301264826933,2,3,157,3,0,1,0
231,62990,98964,1,0.006000218904222919,0.0017657545612307568,2,3,157,3,0,1,0
232,62990,90841,1,0.006000218904222919,0.0003358809373505573,4,3,157,2,0,0,0
233,62990,63089,1,0.006000218904222919,0.0003512857501042566,2,3,157,4,0,2,0
234,62990,98967,1,0.006000218904222919,0.0008021665211341278,5,3,157,2,2,0,0
235,62990,98968,1,0.006000218904222919,0.0009173281638850386,3,3,157,3,0,0,0
236,62990,98969,1,0.006000218904222919,0.0008545099784420813,4,3,157,1,1,0,1
237,62990,98972,1,0.006000218904222919,0.0015887292068896993,2,3,157,1,2,0,0
238,62990,98974,1,0.006000218904222919,0.0011388678103557523,4,3,157,1,0,0,0
239,62990,98977,1,0.006000218904222919,0.0004572575808366847,2,3,157,3,0,1,0
240,62990,90850,1,0.006000218904222919,0.0003471314956536418,2,3,157,5,0,1,0
241,62990,98981,1,0.006000218904222919,0.0005314405111974808,2,3,157,4,0,1,0
242,62990,98982,1,0.006000218904222919,0.0005749874411673117,4,3,157,1,0,0,0
243,62990,98985,1,0.006000218904222919,0.0009128444320027327,3,3,157,1,0,0,0
244,62990,98986,1,0.006000218904222919,0.00041522686418050465,3,3,157,2,2,0,1
245,62990,98989,1,0.006000218904222919,0.0006742921714862839,3,3,157,2,1,0,0
246,62990,98990,1,0.006000218904222919,0.001652231071308469,2,3,157,2,1,0,0
247,62990,98992,1,0.006000218904222919,0.0005175164036545473,3,3,157,1,4,0,0
248,62990,98993,1,0.006000218904222919,0.0019385149234637461,2,3,157,3,2,0,1
249,62990,98995,1,0.006000218904222919,0.0008089483579335225,3,3,157,2,0,0,0
250,62990,98997,1,0.006000218904222919,0.0005518446111907968,2,3,157,3,0,1,0
251,62990,98999,1,0.006000218904222919,0.0007119586228151783,4,3,157,1,0,0,0
252,62990,99004,1,0.006000218904222919,0.00045587514166017205,5,3,157,1,0,0,0
253,62990,99007,1,0.006000218904222919,0.0003327884521797685,4,3,157,2,4,0,0
254,62990,99008,1,0.006000218904222919,0.00032700834844576665,-1,3,157,0,0,0,0
255,62990,99011,1,0.006000218904222919,0.001789324614070727,3,3,157,2,0,0,0
256,62990,99012,1,0.006000218904222919,0.001202415059735335,2,3,157,4,0,1,0
257,62990,99014,1,0.006000218904222919,0.00039218293814036333,4,3,157,2,0,0,0
258,62990,99015,1,0.006000218904222919,0.00048080609837046224,4,3,157,3,0,0,0
259,62990,99017,1,0.006000218904222919,0.0010037147924062718,3,3,157,2,0,0,0
260,62990,99021,1,0.006000218904222919,0.00046947511933169406,3,3,157,3,0,0,0
261,62990,62996,1,0.006000218904222919,0.0009333864728607716,2,3,157,5,0,2,0
262,62990,99023,1,0.006000218904222919,0.0017230272784102638,2,3,157,4,0,1,0
263,62990,99025,1,0.006000218904222919,0.0003293156687042344,3,3,157,2,0,0,0
264,62990,99026,1,0.006000218904222919,0.0009417380009964363,2,3,157,3,0,1,0
265,62990,99028,1,0.006000218904222919,0.0011163082555023117,2,3,157,5,0,1,0
266,62990,99031,1,0.006000218904222919,0.00032700834844576665,-1,3,157,0,0,0,0
267,62990,66878,1,0.006000218904222919,0.0014183363500416516,3,3,157,3,0,0,0
268,62990,99033,1,0.006000218904222919,0.0013203018141953787,3,3,157,1,0,0,0
269,62990,99036,1,0.006000218904222919,0.0019281011945697917,2,3,157,4,0,0,0
270,62990,99039,1,0.006000218904222919,0.000596190886199699,2,3,157,2,1,1,0
271,62990,99040,1,0.006000218904222919,0.001177225099486901,2,3,157,4,0,1,0
272,62990,62926,1,0.006000218904222919,0.0003722015809654914,3,3,157,3,0,1,0
