,Source,Destination,Class,Page_Rank_Src,Page_Rank_Dst,Shortest_Path,Followers_Src,Followees_Src,Followers_Dst,Followees_Dst,Int_Followers,Int_Followees,Mutual_Follow,Adar_Index
0,Source,Target,1,0.0004098299819260914,0.000755366386238893,4,5,6,4,5,0,0,0,0.0
1,10241,16095,1,0.0001739210286180379,0.0007819010472232726,4,0,9,11,8,0,0,0,0.0
2,10241,7786,1,0.0001739210286180379,0.0007874527331523851,3,0,9,11,9,0,1,0,0.812711509291959
3,10241,16132,1,0.0001739210286180379,0.0011401500839046497,4,0,9,10,23,0,0,0,0.0
4,28677,61207,1,0.00045656718186292506,0.001915867391826393,3,4,6,29,4,0,0,0,0.0
5,28677,80295,1,0.00045656718186292506,0.0010047837100023661,4,4,6,10,16,0,0,1,0.0
6,28677,36844,1,0.00045656718186292506,0.0025526867205067283,3,4,6,24,8,0,0,0,0.0
7,180229,170,1,0.0016497737109086024,0.0026995856891872607,3,7,7,44,3,0,0,1,0.0
8,180229,29279,1,0.0016497737109086024,0.0015168729645979706,4,7,7,17,4,0,0,0,0.0
9,36870,59157,1,0.0007448471342176367,0.0004796003563546561,4,10,19,7,19,0,0,1,0.0
10,36870,10427,1,0.0007448471342176367,0.0019156578095119545,3,10,19,23,6,1,0,0,0.0
11,36870,23949,1,0.0007448471342176367,0.0014625366369686475,3,10,19,24,5,0,1,0,1.2850972089384687
12,36870,30483,1,0.0007448471342176367,0.001459409933443716,3,10,19,22,7,0,0,0,0.0
13,36870,78814,1,0.0007448471342176367,0.000825395057337291,3,10,19,10,3,0,0,0,0.0
14,36870,30430,1,0.0007448471342176367,0.001157148738266497,3,10,19,17,16,0,0,0,0.0
15,36870,29279,1,0.0007448471342176367,0.0015168729645979706,3,10,19,17,4,0,0,0,0.0
16,36870,9613,1,0.0007448471342176367,0.0013478563873404613,3,10,19,12,2,0,0,0,0.0
17,36870,9644,1,0.0007448471342176367,0.0007497888328015488,4,10,19,10,9,0,0,0,0.0
18,36870,50732,1,0.0007448471342176367,0.0009135098518242735,3,10,19,7,20,0,0,1,0.0
19,36870,49248,1,0.0007448471342176367,0.0015516901434078024,2,10,19,17,4,0,0,0,0.0
20,36870,11271,1,0.0007448471342176367,0.00034204021213186833,4,10,19,6,9,0,0,0,0.0
21,36870,124487,1,0.0007448471342176367,0.0008939791091008547,3,10,19,10,4,1,0,0,0.0
22,36870,75153,1,0.0007448471342176367,0.0005832237981852581,4,10,19,9,8,0,0,0,0.0
23,73734,18193,1,0.0010921607102596367,0.0008316325601619714,3,4,17,7,17,0,1,1,0.812711509291959
24,73734,7839,1,0.0010921607102596367,0.0008842777005356969,4,4,17,13,22,0,0,0,0.0
25,73734,6389,1,0.0010921607102596367,0.004024753709776194,3,4,17,60,8,0,0,0,0.0
26,73734,55202,1,0.0010921607102596367,0.0021792897676819133,3,4,17,23,15,0,0,0,0.0
27,73734,14715,1,0.0010921607102596367,0.005350945418920833,2,4,17,87,6,1,0,0,0.0
28,73734,29346,1,0.0010921607102596367,0.0009456827485049058,4,4,17,14,6,0,0,0,0.0
29,73734,7861,1,0.0010921607102596367,0.0025031598883956136,3,4,17,30,4,0,0,0,0.0
30,73734,52086,1,0.0010921607102596367,0.0011150171759056198,4,4,17,15,11,1,0,0,0.0
31,73734,18228,1,0.0010921607102596367,0.00166835894028488,3,4,17,33,9,0,0,0,0.0
32,73734,73217,1,0.0010921607102596367,0.0010453101015452393,2,4,17,17,7,1,0,0,0.0
33,63500,18873,1,0.0010439718788752812,0.0018313799227513722,2,10,18,21,4,1,0,0,0.0
34,63500,51383,1,0.0010439718788752812,0.001053727839587319,4,10,18,21,0,0,0,0,0.0
35,63500,12792,1,0.0010439718788752812,0.0028043353157444512,3,10,18,54,2,0,0,0,0.0
36,63500,6389,1,0.0010439718788752812,0.004024753709776194,3,10,18,60,8,0,0,0,0.0
37,63500,8593,1,0.0010439718788752812,0.0023167633732572505,3,10,18,39,2,0,0,0,0.0
38,63500,49392,1,0.0010439718788752812,0.0009254880302156277,3,10,18,10,0,0,0,0,0.0
39,63500,379,1,0.0010439718788752812,0.0027004012651413545,2,10,18,41,4,0,0,0,0.0
40,63500,9889,1,0.0010439718788752812,0.0004949774570245367,3,10,18,8,3,0,0,0,0.0
41,63500,14715,1,0.0010439718788752812,0.005350945418920833,3,10,18,87,6,2,0,0,0.0
42,63500,33875,1,0.0010439718788752812,0.0008945880336742136,4,10,18,9,16,0,0,0,0.0
43,63500,12688,1,0.0010439718788752812,0.0015397974549395403,4,10,18,24,9,0,1,0,0.756304195516401
44,63500,102043,1,0.0010439718788752812,0.0011740164081778537,3,10,18,8,10,0,1,0,0.6200458888731156
45,63500,10987,1,0.0010439718788752812,0.004095144719504062,3,10,18,37,7,1,0,0,0.0
46,217101,32108,1,0.000482604857485594,0.0010856799698748332,3,2,11,11,3,0,0,0,0.0
47,217101,10453,1,0.000482604857485594,0.0016379119912040075,3,2,11,23,5,0,0,0,0.0
48,217101,11606,1,0.000482604857485594,0.001396622387612134,3,2,11,27,7,0,0,0,0.0
49,217101,73724,1,0.000482604857485594,0.0008554370946091388,3,2,11,14,3,0,0,0,0.0
50,36878,16774,1,0.0004371397267198176,0.0015723880697060722,3,2,10,13,4,0,0,0,0.0
51,36878,14017,1,0.0004371397267198176,0.0027274080241348666,3,2,10,37,4,0,0,0,0.0
52,36878,6389,1,0.0004371397267198176,0.004024753709776194,3,2,10,60,8,0,0,0,0.0
53,36878,17303,1,0.0004371397267198176,0.002124983658967164,4,2,10,30,2,0,0,0,0.0
54,36878,47475,1,0.0004371397267198176,0.0016395572633878953,4,2,10,10,9,0,0,0,0.0
55,36878,84305,1,0.0004371397267198176,0.0009035725049840358,3,2,10,18,3,0,0,0,0.0
56,143375,8593,1,0.00029455585411845007,0.0023167633732572505,4,2,4,39,2,0,0,0,0.0
57,59415,17303,1,0.0011657259235560399,0.002124983658967164,4,9,9,30,2,1,0,0,0.0
58,59415,25102,1,0.0011657259235560399,0.0008142409105341168,3,9,9,9,4,0,0,0,0.0
59,59415,6359,1,0.0011657259235560399,0.0022011174433311967,4,9,9,25,2,0,0,0,0.0
60,59415,48684,1,0.0011657259235560399,0.0006425546075891889,4,9,9,7,2,0,0,0,0.0
61,59415,12628,1,0.0011657259235560399,0.0038020127737663093,4,9,9,52,5,0,0,0,0.0
62,59415,228537,1,0.0011657259235560399,0.0009697221863777508,5,9,9,7,8,0,0,0,0.0
63,59415,12809,1,0.0011657259235560399,0.0005815810867106229,4,9,9,6,11,0,0,1,0.0
64,59415,47389,1,0.0011657259235560399,0.00118689985570763,3,9,9,18,6,0,0,0,0.0
65,43032,73217,1,0.0008780238704084514,0.0010453101015452393,4,6,13,17,7,0,0,0,0.0
66,43032,103109,1,0.0008780238704084514,0.0013222265640606041,3,6,13,13,16,0,0,0,0.0
